INCIDENTLOCATION,Latitude,Longitude
15102,40.32757,-80.0395
15104,40.4034,-79.86838
15120,40.392619,-79.905171
15147,40.50646,-79.8431
15201,40.47441,-79.950968
15203,40.425369,-79.979914
15204,40.455368,-80.064416
15205,40.432205,-80.102101
15206,40.472272,-79.913156
15207,40.403793,-79.928872
15208,40.453191,-79.899498
15210,40.406634,-79.984725
15211,40.429519,-80.014375
15212,40.456939,-79.990055
15213,40.444043,-79.955247
15214,40.486557,-80.013953
15215,40.503693,-79.91322
15216,40.400091,-80.046176
15217,40.430821,-79.920089
15218,40.42361,-79.889803
15219,40.442229,-79.982794
15220,40.418119,-80.052576
15221,40.435791,-79.86427
15222,40.447679,-79.993462
15224,40.464234,-79.944805
15226,40.40014,-80.016074
15227,40.380519,-79.966723
15232,40.452517,-79.931939
15233,40.460862,-80.034917
15234,40.368819,-80.022399
15235,40.459801,-79.82242
Zone 1,0,0
Zone 2,0,0
